,KEY,FOREIGN_KEY,SIZE,IS_TIME_INTERSECTING,BEGIN_TIME_UTC,END_TIME_UTC,bucket_begin_time,bucket_end_time
,KEY,FOREIGN_KEY,SIZE,IS_TIME_INTERSECTING,BEGIN_TIME_UTC,END_TIME_UTC,bucket_begin_time,bucket_end_time
84,ABI-L1b-RadC/2017/205/00/OR_ABI-L1b-RadC-M3C09_G16_s20172050032187_e20172050034565_c20172050035000.nc,0,3.499496,True,2017-07-24 00:14:00,2017-07-24 01:16:00,2017-07-24 00:32:18,2017-07-24 00:34:56
85,ABI-L1b-RadC/2017/205/00/OR_ABI-L1b-RadC-M3C09_G16_s20172050037187_e20172050039565_c20172050040000.nc,0,3.497424,True,2017-07-24 00:14:00,2017-07-24 01:16:00,2017-07-24 00:37:18,2017-07-24 00:39:56
86,ABI-L1b-RadC/2017/205/00/OR_ABI-L1b-RadC-M3C09_G16_s20172050042187_e20172050044565_c20172050045000.nc,0,3.49644,True,2017-07-24 00:14:00,2017-07-24 01:16:00,2017-07-24 00:42:18,2017-07-24 00:44:56
87,ABI-L1b-RadC/2017/205/00/OR_ABI-L1b-RadC-M3C09_G16_s20172050047187_e20172050049565_c20172050050000.nc,0,3.492915,True,2017-07-24 00:14:00,2017-07-24 01:16:00,2017-07-24 00:47:18,2017-07-24 00:49:56
88,ABI-L1b-RadC/2017/205/00/OR_ABI-L1b-RadC-M3C09_G16_s20172050052187_e20172050054566_c20172050055002.nc,0,3.48989,True,2017-07-24 00:14:00,2017-07-24 01:16:00,2017-07-24 00:52:18,2017-07-24 00:54:56
89,ABI-L1b-RadC/2017/205/00/OR_ABI-L1b-RadC-M3C09_G16_s20172050057187_e20172050059565_c20172050059598.nc,0,3.4863989999999996,True,2017-07-24 00:14:00,2017-07-24 01:16:00,2017-07-24 00:57:18,2017-07-24 00:59:56
90,ABI-L1b-RadC/2017/205/00/OR_ABI-L1b-RadC-M3C10_G16_s20172050012187_e20172050014571_c20172050015009.nc,0,4.175197,True,2017-07-24 00:14:00,2017-07-24 01:16:00,2017-07-24 00:12:18,2017-07-24 00:14:57
91,ABI-L1b-RadC/2017/205/00/OR_ABI-L1b-RadC-M3C10_G16_s20172050017187_e20172050019571_c20172050020008.nc,0,4.173846,True,2017-07-24 00:14:00,2017-07-24 01:16:00,2017-07-24 00:17:18,2017-07-24 00:19:57
92,ABI-L1b-RadC/2017/205/00/OR_ABI-L1b-RadC-M3C10_G16_s20172050022187_e20172050024571_c20172050025008.nc,0,4.174092,True,2017-07-24 00:14:00,2017-07-24 01:16:00,2017-07-24 00:22:18,2017-07-24 00:24:57
93,ABI-L1b-RadC/2017/205/00/OR_ABI-L1b-RadC-M3C10_G16_s20172050027187_e20172050029571_c20172050030007.nc,0,4.172883000000001,True,2017-07-24 00:14:00,2017-07-24 01:16:00,2017-07-24 00:27:18,2017-07-24 00:29:57
94,ABI-L1b-RadC/2017/205/00/OR_ABI-L1b-RadC-M3C10_G16_s20172050032187_e20172050034571_c20172050035008.nc,0,4.173096,True,2017-07-24 00:14:00,2017-07-24 01:16:00,2017-07-24 00:32:18,2017-07-24 00:34:57
95,ABI-L1b-RadC/2017/205/00/OR_ABI-L1b-RadC-M3C10_G16_s20172050037187_e20172050039571_c20172050040000.nc,0,4.1717119999999985,True,2017-07-24 00:14:00,2017-07-24 01:16:00,2017-07-24 00:37:18,2017-07-24 00:39:57
96,ABI-L1b-RadC/2017/205/00/OR_ABI-L1b-RadC-M3C10_G16_s20172050042187_e20172050044571_c20172050045009.nc,0,4.170457,True,2017-07-24 00:14:00,2017-07-24 01:16:00,2017-07-24 00:42:18,2017-07-24 00:44:57
97,ABI-L1b-RadC/2017/205/00/OR_ABI-L1b-RadC-M3C10_G16_s20172050047187_e20172050049571_c20172050050010.nc,0,4.169241,True,2017-07-24 00:14:00,2017-07-24 01:16:00,2017-07-24 00:47:18,2017-07-24 00:49:57
98,ABI-L1b-RadC/2017/205/00/OR_ABI-L1b-RadC-M3C10_G16_s20172050052187_e20172050054571_c20172050055008.nc,0,4.1684410000000005,True,2017-07-24 00:14:00,2017-07-24 01:16:00,2017-07-24 00:52:18,2017-07-24 00:54:57
